Sensor 6-digit ID, program, cellID, ambient temperature
df08ea, UTCCAL1, NCRB038, -27
df20fd, UTCCAL1, NCRB039, -27
decd9d, UTCCAL1, NCRB043, -27
df4c2f, UTCCAL1, NCRB044, -27
e069e1, UTCCAL2, NCRB046, 25
df974c, UTCCAL2, NCRB047, 25
df100d, UTCCAL2, NCRB049, 25
df4ac3, UTCCAL2, NCRB050, 25
df2db4, UTCCAL3, NCRB056, 45
deae8c, UTCCAL3, NCRB058, 45
dea273, UTCCAL3, NCRB059, 45
de8783, UTCCAL3, NCRB063, 45
deccce, UTCCAL4, NCRB069, 55
de9a74, UTCCAL4, NCRB083, 55
df4433, UTCCAL4, NCRB085, 55
dee0d3, UTCCAL4, NCRB093, 55
de89d2, BESSCAL1, ALT1L001, -27
dea7e9, BESSCAL1, ALT1L002, -27
df0386, BESSCAL1, ALT2L001, -27
deb43c, BESSCAL1, ALT2L001, -27
ded0e0, BESSCAL2, ALT1L003, 25
df740c, BESSCAL2, ALT1L004, 25
df0547, BESSCAL2, ALT2L003, 25
debaf1, BESSCAL2, ALT2L009, 25
df95a7, BESSCAL3, ALT1L005, 45
dec070, BESSCAL3, ALT1L006, 45
df3767, BESSCAL3, ALT2L005, 45
de8632, BESSCAL3, ALT2L006, 45
df246e, BESSCAL4, ALT1L007, 55
de8d5f, BESSCAL4, ALT1L008, 55
df95ba, BESSCAL4, ALT2L007, 55
de5809, BESSCAL4, ALT2L008, 55
df9b8b
de31bd
dec2e2
df1770
deb1fa
df4595
df03fe
df1371
df1693, BESSCAL, ALT2L014, 25
